word,mean,std
diamondwedding,2.7857142857142856,1.7619295117556786
website,3.5,1.4005493427717788
guilttrip,2.142857142857143,1.4064216928154865
researchproject,3.5714285714285716,1.3424596091494905
sacredcow,2.3846153846153846,1.5021352323976214
rolemodel,2.2142857142857144,1.311403911760301
kangaroocourt,2.0,1.5374122295716148
silverscreen,2.769230769230769,1.4232501627054273
meltingpot,2.2142857142857144,1.05090228108783
nestegg,2.769230769230769,1.739436985245808
climatechange,2.4285714285714284,1.2838814775327387
acidtest,2.769230769230769,1.4232501627054273
thinktank,2.6923076923076925,1.5483655567842813
fashionplate,2.727272727272727,1.618079669911781
creditcard,4.714285714285714,0.726273039202563
mailinglist,3.357142857142857,1.6919330254585618
snailmail,2.727272727272727,1.618079669911781
agonyaunt,2.2142857142857144,1.3688047244316384
brassring,3.923076923076923,1.3821202589704016
enduser,3.230769230769231,1.6408253082847337
frontrunner,3.0,1.4142135623730951
groundfloor,4.642857142857143,0.7449463436684919
spellingbee,2.857142857142857,1.6574838603294897
crashcourse,2.5,1.3445044840729643
humanbeing,4.857142857142857,0.5345224838248489
chainreaction,2.5714285714285716,1.2224996910042532
engineroom,4.142857142857143,1.292412345317728
lipservice,2.0,1.0
goldmine,3.9285714285714284,1.328057326976612
shrinkingviolet,2.076923076923077,1.255755978254962
videogame,4.285714285714286,1.1387288073563857
facevalue,2.230769230769231,1.0127393670836666
pandacar,3.8,1.6193277068654826
balancesheet,4.076923076923077,1.1875421719907089
parkinglot,4.714285714285714,0.6112498455021267
nightowl,2.4285714285714284,1.4525460784051258
fineline,2.642857142857143,1.3363062095621219
silverbullet,2.923076923076923,1.4978617237881953
carpark,5.0,0.0
searchengine,3.7142857142857144,1.489892687336984
brickwall,4.571428571428571,0.7559289460184544
interestrate,3.142857142857143,1.4600918230947435
eyecandy,2.2857142857142856,1.3259870882635918
lawfirm,4.285714285714286,1.0690449676496974
bankaccount,4.214285714285714,1.1217137594956024
ratrace,1.9285714285714286,1.1411388181101376
publicservice,2.9285714285714284,1.3280573269766118
graveyardshift,2.2142857142857144,1.1883130530663677
couchpotato,2.5,1.3445044840729643
smokinggun,2.9285714285714284,1.439245834257849
chinaclay,3.6,1.577621275493231
lotusposition,3.9166666666666665,1.5050420310248864
headteacher,4.071428571428571,1.1411388181101378
gameplan,2.357142857142857,1.0818177620697815
spinningjenny,3.5555555555555554,1.5898986690282428
poloshirt,4.714285714285714,0.726273039202563
radiostation,4.142857142857143,1.0271051820261912
sittingduck,2.4285714285714284,1.2224996910042534
rockbottom,2.2857142857142856,1.2666473875533018
ivorytower,2.0,1.1094003924504583
speedlimit,4.0,1.1766968108291043
rushhour,3.142857142857143,1.4064216928154862
zebracrossing,4.357142857142857,1.1507283885330302
snakeoil,2.5,1.4005493427717788
blamegame,2.0,1.2403473458920846
cuttingedge,2.642857142857143,1.3363062095621219
fleamarket,3.5,1.5063966175050876
cheatsheet,3.5714285714285716,1.3424596091494905
crocodiletear,1.9230769230769231,1.1151635501529558
grandfatherclock,4.142857142857143,1.4600918230947435
casestudy,3.2142857142857144,1.2513728724621074
gravytrain,2.0714285714285716,1.2688144505364485
cocktaildress,4.571428571428571,0.8516306272526403
cloudnine,1.8571428571428572,1.167320591199077
swimmingpool,4.857142857142857,0.3631365196012814
memorylane,2.142857142857143,1.231455852429764
smokingjacket,3.1818181818181817,1.6624188291872668
monkeybusiness,2.2857142857142856,1.3827826698682306
silverspoon,3.4285714285714284,1.4525460784051258
applicationform,4.428571428571429,1.0894095588038446
graduatestudent,3.9285714285714284,1.3847680013570567
ratrun,2.0,1.0
swansong,2.0,1.2792042981336627
rocketscience,3.0714285714285716,1.328057326976612
healthinsurance,4.357142857142857,1.1507283885330302
firingline,3.142857142857143,1.3506205330054124
cashcow,2.1538461538461537,1.281025230440697
callcentre,4.642857142857143,0.8418973861410953
